source,market,date,split
investrade,equity market,2020-12-15,train
investrade,equity market,2020-12-16,train
investrade,equity market,2020-12-17,train
investrade,equity market,2020-12-18,train
investrade,equity market,2020-12-21,train
investrade,equity market,2020-12-22,train
investrade,equity market,2020-12-23,train
investrade,equity market,2020-12-28,train
investrade,equity market,2020-12-29,train
investrade,equity market,2020-12-30,train
investrade,equity market,2020-12-31,train
investrade,equity market,2021-01-04,train
investrade,equity market,2021-01-05,train
investrade,equity market,2021-01-06,train
investrade,equity market,2021-01-07,train
investrade,equity market,2021-01-08,train
investrade,equity market,2021-01-11,train
investrade,equity market,2021-01-12,train
investrade,equity market,2021-01-13,train
investrade,equity market,2021-01-14,train
investrade,equity market,2021-01-15,train
investrade,equity market,2021-01-19,train
investrade,equity market,2021-01-20,train
investrade,equity market,2021-01-21,train
investrade,equity market,2021-01-22,train
investrade,equity market,2021-01-25,train
investrade,equity market,2021-01-26,train
investrade,equity market,2021-01-27,train
investrade,equity market,2021-01-28,train
investrade,equity market,2021-01-29,train
investrade,equity market,2021-02-01,train
investrade,equity market,2021-02-02,train
investrade,equity market,2021-02-03,train
investrade,equity market,2021-02-04,train
investrade,equity market,2021-02-05,train
investrade,equity market,2021-02-08,train
investrade,equity market,2021-02-09,train
investrade,equity market,2021-02-10,train
investrade,equity market,2021-02-11,train
investrade,equity market,2021-02-12,train
investrade,equity market,2021-02-16,train
investrade,equity market,2021-02-17,train
investrade,equity market,2021-02-18,train
investrade,equity market,2021-02-19,train
investrade,equity market,2021-02-22,train
investrade,equity market,2021-02-23,train
investrade,equity market,2021-02-24,train
investrade,equity market,2021-02-25,train
investrade,equity market,2021-03-01,train
investrade,equity market,2021-03-02,train
investrade,equity market,2021-03-03,train
investrade,equity market,2021-03-04,train
investrade,equity market,2021-03-05,train
investrade,equity market,2021-03-08,train
investrade,equity market,2021-03-09,train
investrade,equity market,2021-03-10,train
investrade,equity market,2021-03-11,train
investrade,equity market,2021-03-12,train
investrade,equity market,2021-03-15,train
investrade,equity market,2021-03-16,train
investrade,equity market,2021-03-17,train
investrade,equity market,2021-03-18,train
investrade,equity market,2021-03-19,train
investrade,equity market,2021-03-22,train
investrade,equity market,2021-03-23,train
investrade,equity market,2021-03-24,train
investrade,equity market,2021-03-25,train
investrade,equity market,2021-03-26,train
investrade,equity market,2021-03-29,train
investrade,equity market,2021-03-30,train
investrade,equity market,2021-04-05,train
investrade,equity market,2021-04-06,train
investrade,equity market,2021-04-07,train
investrade,equity market,2021-04-08,train
investrade,equity market,2021-04-09,train
investrade,equity market,2021-04-12,train
investrade,equity market,2021-04-13,train
investrade,equity market,2021-04-14,train
investrade,equity market,2021-04-15,train
investrade,equity market,2021-04-20,train
investrade,equity market,2021-04-21,train
investrade,equity market,2021-04-22,train
investrade,equity market,2021-04-23,train
investrade,equity market,2021-04-26,train
investrade,equity market,2021-04-27,train
investrade,equity market,2021-04-28,train
investrade,equity market,2021-04-29,train
investrade,equity market,2021-04-30,train
investrade,equity market,2021-05-03,train
investrade,equity market,2021-05-04,train
investrade,equity market,2021-05-05,train
investrade,equity market,2021-05-06,train
investrade,equity market,2021-05-07,train
investrade,equity market,2021-05-10,train
investrade,equity market,2021-05-11,train
investrade,equity market,2021-05-12,train
investrade,equity market,2021-05-13,train
investrade,equity market,2021-05-14,train
investrade,equity market,2021-05-17,train
investrade,equity market,2021-05-18,train
investrade,equity market,2021-05-19,train
investrade,equity market,2021-05-20,train
investrade,equity market,2021-05-21,train
investrade,equity market,2021-05-24,train
investrade,equity market,2021-05-25,train
investrade,equity market,2021-05-26,train
investrade,equity market,2021-05-27,train
investrade,equity market,2021-05-28,train
investrade,equity market,2021-06-01,train
investrade,equity market,2021-06-02,train
investrade,equity market,2021-06-03,train
investrade,equity market,2021-06-04,train
investrade,equity market,2021-06-07,train
investrade,equity market,2021-06-08,train
investrade,equity market,2021-06-09,train
investrade,equity market,2021-06-10,train
investrade,equity market,2021-06-11,train
investrade,equity market,2021-06-14,train
investrade,equity market,2021-06-15,train
investrade,equity market,2021-06-16,train
investrade,equity market,2021-06-17,train
investrade,equity market,2021-06-21,train
investrade,equity market,2021-06-22,train
investrade,equity market,2021-06-23,train
investrade,equity market,2021-06-25,train
investrade,equity market,2021-06-28,train
investrade,equity market,2021-07-06,train
investrade,equity market,2021-07-07,train
investrade,equity market,2021-07-08,train
investrade,equity market,2021-07-09,train
investrade,equity market,2021-07-12,train
investrade,equity market,2021-07-13,train
investrade,equity market,2021-07-14,train
investrade,equity market,2021-07-15,train
investrade,equity market,2021-07-16,train
investrade,equity market,2021-07-19,train
investrade,equity market,2021-07-20,train
investrade,equity market,2021-07-21,train
investrade,equity market,2021-07-22,train
investrade,equity market,2021-07-23,train
investrade,equity market,2021-07-26,train
investrade,equity market,2021-07-27,train
investrade,equity market,2021-07-28,train
investrade,equity market,2021-07-29,train
investrade,equity market,2021-07-30,train
investrade,equity market,2021-08-02,train
investrade,equity market,2021-08-03,train
investrade,equity market,2021-08-04,train
investrade,equity market,2021-08-05,train
investrade,equity market,2021-08-06,train
investrade,equity market,2021-08-09,train
investrade,equity market,2021-08-10,train
investrade,equity market,2021-08-11,train
investrade,equity market,2021-08-12,train
investrade,equity market,2021-08-16,train
investrade,equity market,2021-08-17,train
investrade,equity market,2021-08-18,train
investrade,equity market,2021-08-19,train
investrade,equity market,2021-08-20,train
investrade,equity market,2021-08-23,train
investrade,equity market,2021-08-24,train
investrade,equity market,2021-08-25,train
investrade,equity market,2021-08-26,train
investrade,equity market,2021-08-27,train
investrade,equity market,2021-08-30,train
investrade,equity market,2021-08-31,train
investrade,equity market,2021-09-01,train
investrade,equity market,2021-09-02,train
investrade,equity market,2021-09-03,train
investrade,equity market,2021-09-07,train
investrade,equity market,2021-09-08,train
investrade,equity market,2021-09-09,train
investrade,equity market,2021-09-10,train
investrade,equity market,2021-09-13,train
investrade,equity market,2021-09-14,train
investrade,equity market,2021-09-15,train
investrade,equity market,2021-09-16,train
investrade,equity market,2021-09-17,train
investrade,equity market,2021-09-20,train
investrade,equity market,2021-09-21,train
investrade,equity market,2021-09-22,train
investrade,equity market,2021-09-23,train
investrade,equity market,2021-09-24,train
investrade,equity market,2021-09-27,train
investrade,equity market,2021-09-28,train
investrade,equity market,2021-09-29,train
investrade,equity market,2021-10-01,train
investrade,equity market,2021-10-04,train
investrade,equity market,2021-10-05,train
investrade,equity market,2021-10-06,train
investrade,equity market,2021-10-07,train
investrade,equity market,2021-10-08,train
investrade,equity market,2021-10-11,train
investrade,equity market,2021-10-12,train
investrade,equity market,2021-10-13,train
investrade,equity market,2021-10-14,train
investrade,equity market,2021-10-15,train
investrade,equity market,2021-10-18,train
investrade,equity market,2021-10-19,train
investrade,equity market,2021-10-20,train
investrade,equity market,2021-10-21,train
investrade,equity market,2021-10-22,train
investrade,equity market,2021-10-25,train
investrade,equity market,2021-10-26,train
investrade,equity market,2021-10-27,train
investrade,equity market,2021-10-28,train
investrade,equity market,2021-10-29,train
investrade,equity market,2021-11-01,train
investrade,equity market,2021-11-02,train
investrade,equity market,2021-11-03,train
investrade,equity market,2021-11-04,train
investrade,equity market,2021-11-05,train
investrade,equity market,2021-11-08,train
investrade,equity market,2021-11-09,train
investrade,equity market,2021-11-10,train
investrade,equity market,2021-11-11,train
investrade,equity market,2021-11-12,train
investrade,equity market,2021-11-15,train
investrade,equity market,2021-11-16,train
investrade,equity market,2021-11-17,train
investrade,equity market,2021-11-18,train
investrade,equity market,2021-11-19,train
investrade,equity market,2021-11-22,train
investrade,equity market,2021-11-23,train
investrade,equity market,2021-11-24,train
investrade,equity market,2021-11-26,train
investrade,equity market,2021-11-29,train
investrade,equity market,2021-11-30,train
investrade,equity market,2021-12-01,train
investrade,equity market,2021-12-02,train
investrade,equity market,2021-12-03,train
investrade,equity market,2021-12-06,train
investrade,equity market,2021-12-07,train
investrade,equity market,2021-12-08,train
investrade,equity market,2021-12-09,train
investrade,equity market,2021-12-10,train
investrade,equity market,2021-12-13,train
investrade,equity market,2021-12-14,train
investrade,equity market,2021-12-15,train
investrade,equity market,2021-12-16,train
investrade,equity market,2021-12-17,train
investrade,equity market,2021-12-20,train
investrade,equity market,2021-12-21,train
investrade,equity market,2021-12-22,train
investrade,equity market,2021-12-23,train
investrade,equity market,2021-12-27,train
investrade,equity market,2021-12-28,train
investrade,equity market,2021-12-29,train
investrade,equity market,2021-12-30,train
investrade,equity market,2021-12-31,train
investrade,equity market,2022-01-03,train
investrade,equity market,2022-01-04,train
investrade,equity market,2022-01-05,train
investrade,equity market,2022-01-06,train
investrade,equity market,2022-01-07,train
investrade,equity market,2022-01-10,train
investrade,equity market,2022-01-11,train
investrade,equity market,2022-01-12,train
investrade,equity market,2022-01-13,train
investrade,equity market,2022-01-14,train
investrade,equity market,2022-01-18,train
investrade,equity market,2022-01-19,train
investrade,equity market,2022-01-20,train
investrade,equity market,2022-01-21,train
investrade,equity market,2022-01-24,train
investrade,equity market,2022-01-25,train
investrade,equity market,2022-01-26,train
investrade,equity market,2022-01-27,train
investrade,equity market,2022-01-28,train
investrade,equity market,2022-01-31,train
investrade,equity market,2022-02-01,train
investrade,equity market,2022-02-02,train
investrade,equity market,2022-02-03,train
investrade,equity market,2022-02-04,train
investrade,equity market,2022-02-07,train
investrade,equity market,2022-02-08,train
investrade,equity market,2022-02-09,train
investrade,equity market,2022-02-10,train
investrade,equity market,2022-02-11,train
investrade,equity market,2022-02-14,train
investrade,equity market,2022-02-15,train
investrade,equity market,2022-02-16,train
investrade,equity market,2022-02-17,train
investrade,equity market,2022-02-18,train
investrade,equity market,2022-02-22,train
investrade,equity market,2022-02-23,train
investrade,equity market,2022-02-24,train
investrade,equity market,2022-02-25,train
investrade,equity market,2022-02-28,train
investrade,equity market,2022-03-01,train
investrade,equity market,2022-03-02,train
investrade,equity market,2022-03-03,train
investrade,equity market,2022-03-04,train
investrade,equity market,2022-03-07,train
investrade,equity market,2022-03-08,train
investrade,equity market,2022-03-09,train
investrade,equity market,2022-03-10,train
investrade,equity market,2022-03-11,train
investrade,equity market,2022-03-14,train
investrade,equity market,2022-03-16,train
investrade,equity market,2022-03-17,train
investrade,equity market,2022-03-18,train
investrade,equity market,2022-03-21,train
investrade,equity market,2022-03-22,train
investrade,equity market,2022-03-23,train
investrade,equity market,2022-03-24,train
investrade,equity market,2022-03-25,train
investrade,equity market,2022-03-28,train
investrade,equity market,2022-03-29,train
investrade,equity market,2022-03-30,train
investrade,equity market,2022-03-31,train
investrade,equity market,2022-04-01,train
investrade,equity market,2022-04-04,train
investrade,equity market,2022-04-05,train
investrade,equity market,2022-04-06,train
investrade,equity market,2022-04-07,train
investrade,equity market,2022-04-08,train
investrade,equity market,2022-04-11,train
investrade,equity market,2022-04-12,train
investrade,equity market,2022-04-13,train
investrade,equity market,2022-04-14,train
investrade,equity market,2022-04-18,train
investrade,equity market,2022-04-19,train
investrade,equity market,2022-04-20,train
investrade,equity market,2022-04-21,train
investrade,equity market,2022-04-22,train
investrade,equity market,2022-04-25,train
investrade,equity market,2022-04-26,train
investrade,equity market,2022-04-27,train
investrade,equity market,2022-04-28,train
investrade,equity market,2022-04-29,train
investrade,equity market,2022-05-02,train
investrade,equity market,2022-05-03,train
investrade,equity market,2022-05-04,train
investrade,equity market,2022-05-05,train
investrade,equity market,2022-05-06,train
investrade,equity market,2022-05-09,train
investrade,equity market,2022-05-10,train
investrade,equity market,2022-05-11,train
investrade,equity market,2022-05-12,train
investrade,equity market,2022-05-13,train
investrade,equity market,2022-05-16,train
investrade,equity market,2022-05-17,train
investrade,equity market,2022-05-18,train
investrade,equity market,2022-05-19,train
investrade,equity market,2022-05-20,train
investrade,equity market,2022-05-23,train
investrade,equity market,2022-05-24,train
investrade,equity market,2022-05-25,train
investrade,equity market,2022-05-26,train
investrade,equity market,2022-05-27,train
investrade,equity market,2022-05-31,train
investrade,equity market,2022-06-01,train
investrade,equity market,2022-06-02,train
investrade,equity market,2022-06-03,train
investrade,equity market,2022-06-06,train
investrade,equity market,2022-06-07,train
investrade,equity market,2022-06-08,train
investrade,equity market,2022-06-09,train
investrade,equity market,2022-06-10,train
investrade,equity market,2022-06-13,train
investrade,equity market,2022-06-14,train
investrade,equity market,2022-06-15,train
investrade,equity market,2022-06-16,train
investrade,equity market,2022-06-17,train
investrade,equity market,2022-06-21,train
investrade,equity market,2022-06-22,train
investrade,equity market,2022-06-23,train
investrade,equity market,2022-06-24,train
investrade,equity market,2022-06-27,train
investrade,equity market,2022-06-28,train
investrade,equity market,2022-06-29,train
investrade,equity market,2022-06-30,train
investrade,equity market,2022-07-01,train
investrade,equity market,2022-07-05,train
investrade,equity market,2022-07-06,train
investrade,equity market,2022-07-07,train
investrade,equity market,2022-07-08,train
investrade,equity market,2022-07-11,train
investrade,equity market,2022-07-12,train
investrade,equity market,2022-07-13,train
investrade,equity market,2022-07-14,train
investrade,equity market,2022-07-15,train
investrade,equity market,2022-07-18,train
investrade,equity market,2022-07-19,train
investrade,equity market,2022-07-20,train
investrade,equity market,2022-07-21,train
investrade,equity market,2022-07-22,train
investrade,equity market,2022-07-25,train
investrade,equity market,2022-07-26,train
investrade,equity market,2022-07-27,train
investrade,equity market,2022-07-28,train
investrade,equity market,2022-07-29,train
investrade,equity market,2022-08-01,train
investrade,equity market,2022-08-02,train
investrade,equity market,2022-08-03,train
investrade,equity market,2022-08-04,train
investrade,equity market,2022-08-05,train
investrade,equity market,2022-08-08,train
investrade,equity market,2022-08-09,train
investrade,equity market,2022-08-10,train
investrade,equity market,2022-08-11,train
investrade,equity market,2022-08-12,train
investrade,equity market,2022-08-15,train
investrade,equity market,2022-08-16,train
investrade,equity market,2022-08-17,train
investrade,equity market,2022-08-18,train
investrade,equity market,2022-08-19,train
investrade,equity market,2022-08-22,train
investrade,equity market,2022-08-23,train
investrade,equity market,2022-08-24,train
investrade,equity market,2022-08-25,train
investrade,equity market,2022-08-26,train
investrade,equity market,2022-08-29,train
investrade,equity market,2022-08-30,train
investrade,equity market,2022-08-31,train
investrade,equity market,2022-09-01,train
investrade,equity market,2022-09-02,train
investrade,equity market,2022-09-06,train
investrade,equity market,2022-09-07,train
investrade,equity market,2022-09-08,train
investrade,equity market,2022-09-09,train
investrade,equity market,2022-09-12,train
investrade,equity market,2022-09-13,train
investrade,equity market,2022-09-14,train
investrade,equity market,2022-09-15,train
investrade,equity market,2022-09-16,train
investrade,equity market,2022-09-19,train
investrade,equity market,2022-09-20,train
investrade,equity market,2022-09-21,train
investrade,equity market,2022-09-22,train
investrade,equity market,2022-09-23,train
investrade,equity market,2022-09-26,train
investrade,equity market,2022-09-27,train
investrade,equity market,2022-09-28,train
investrade,equity market,2022-09-29,train
investrade,equity market,2022-09-30,validate
investrade,equity market,2022-10-03,validate
investrade,equity market,2022-10-04,validate
investrade,equity market,2022-10-05,validate
investrade,equity market,2022-10-06,validate
investrade,equity market,2022-10-07,validate
investrade,equity market,2022-10-10,validate
investrade,equity market,2022-10-11,validate
investrade,equity market,2022-10-12,validate
investrade,equity market,2022-10-13,validate
investrade,equity market,2022-10-14,validate
investrade,equity market,2022-10-17,validate
investrade,equity market,2022-10-18,validate
investrade,equity market,2022-10-19,validate
investrade,equity market,2022-10-20,validate
investrade,equity market,2022-10-21,validate
investrade,equity market,2022-10-24,validate
investrade,equity market,2022-10-25,validate
investrade,equity market,2022-10-26,validate
investrade,equity market,2022-10-27,validate
investrade,equity market,2022-10-28,validate
investrade,equity market,2022-10-31,validate
investrade,equity market,2022-11-01,validate
investrade,equity market,2022-11-02,validate
investrade,equity market,2022-11-03,validate
investrade,equity market,2022-11-04,validate
investrade,equity market,2022-11-07,validate
investrade,equity market,2022-11-08,validate
investrade,equity market,2022-11-09,validate
investrade,equity market,2022-11-10,validate
investrade,equity market,2022-11-11,validate
investrade,equity market,2022-11-14,validate
investrade,equity market,2022-11-15,validate
investrade,equity market,2022-11-16,validate
investrade,equity market,2022-11-17,validate
investrade,equity market,2022-11-18,validate
investrade,equity market,2022-11-21,validate
investrade,equity market,2022-11-22,validate
investrade,equity market,2022-11-23,validate
investrade,equity market,2022-11-25,validate
investrade,equity market,2022-11-28,validate
investrade,equity market,2022-11-29,validate
investrade,equity market,2022-11-30,validate
investrade,equity market,2022-12-01,validate
investrade,equity market,2022-12-02,validate
investrade,equity market,2022-12-05,validate
investrade,equity market,2022-12-06,validate
investrade,equity market,2022-12-07,validate
investrade,equity market,2022-12-08,validate
investrade,equity market,2022-12-09,validate
investrade,equity market,2022-12-12,validate
investrade,equity market,2022-12-13,validate
investrade,equity market,2022-12-14,validate
investrade,equity market,2022-12-15,validate
investrade,equity market,2022-12-16,validate
investrade,equity market,2022-12-19,validate
investrade,equity market,2022-12-20,validate
investrade,equity market,2022-12-21,validate
investrade,equity market,2022-12-22,validate
investrade,equity market,2022-12-23,validate
investrade,equity market,2022-12-27,validate
investrade,equity market,2022-12-28,validate
investrade,equity market,2022-12-29,validate
investrade,equity market,2022-12-30,test
investrade,equity market,2023-01-03,test
investrade,equity market,2023-01-04,test
investrade,equity market,2023-01-05,test
investrade,equity market,2023-01-06,test
investrade,equity market,2023-01-09,test
investrade,equity market,2023-01-10,test
investrade,equity market,2023-01-11,test
investrade,equity market,2023-01-12,test
investrade,equity market,2023-01-13,test
investrade,equity market,2023-01-17,test
investrade,equity market,2023-01-18,test
investrade,equity market,2023-01-19,test
investrade,equity market,2023-01-20,test
investrade,equity market,2023-01-23,test
investrade,equity market,2023-01-24,test
investrade,equity market,2023-01-25,test
investrade,equity market,2023-01-26,test
investrade,equity market,2023-01-27,test
investrade,equity market,2023-01-30,test
investrade,equity market,2023-01-31,test
investrade,equity market,2023-02-01,test
investrade,equity market,2023-02-02,test
investrade,equity market,2023-02-03,test
investrade,equity market,2023-02-06,test
investrade,equity market,2023-02-07,test
investrade,equity market,2023-02-08,test
investrade,equity market,2023-02-09,test
investrade,equity market,2023-02-10,test
investrade,equity market,2023-02-13,test
investrade,equity market,2023-02-14,test
investrade,equity market,2023-02-15,test
investrade,equity market,2023-02-16,test
investrade,equity market,2023-02-17,test
investrade,equity market,2023-02-21,test
investrade,equity market,2023-02-22,test
investrade,equity market,2023-02-23,test
investrade,equity market,2023-02-24,test
investrade,equity market,2023-02-27,test
investrade,equity market,2023-02-28,test
investrade,equity market,2023-03-01,test
investrade,equity market,2023-03-02,test
investrade,equity market,2023-03-03,test
investrade,equity market,2023-03-06,test
investrade,equity market,2023-03-07,test
investrade,equity market,2023-03-08,test
investrade,equity market,2023-03-09,test
investrade,equity market,2023-03-10,test
investrade,equity market,2023-03-13,test
investrade,equity market,2023-03-14,test
investrade,equity market,2023-03-15,test
investrade,equity market,2023-03-16,test
investrade,equity market,2023-03-17,test
investrade,equity market,2023-03-20,test
investrade,equity market,2023-03-21,test
investrade,equity market,2023-03-22,test
investrade,equity market,2023-03-23,test
investrade,equity market,2023-03-24,test
investrade,equity market,2023-03-27,test
investrade,equity market,2023-03-28,test
investrade,equity market,2023-03-29,test
investrade,equity market,2023-03-30,test
investrade,equity market,2023-03-31,test
investrade,gold,2020-08-31,train
investrade,gold,2020-09-04,train
investrade,gold,2020-09-09,train
investrade,gold,2020-09-14,train
investrade,gold,2020-09-15,train
investrade,gold,2020-09-17,train
investrade,gold,2020-09-25,train
investrade,gold,2020-09-28,train
investrade,gold,2020-09-29,train
investrade,gold,2020-10-05,train
investrade,gold,2020-10-06,train
investrade,gold,2020-10-08,train
investrade,gold,2020-10-09,train
investrade,gold,2020-10-13,train
investrade,gold,2020-10-14,train
investrade,gold,2020-10-21,train
investrade,gold,2020-10-26,train
investrade,gold,2020-10-28,train
investrade,gold,2020-10-30,train
investrade,gold,2020-11-02,train
investrade,gold,2020-11-03,train
investrade,gold,2020-11-04,train
investrade,gold,2020-11-06,train
investrade,gold,2020-11-09,train
investrade,gold,2020-11-10,train
investrade,gold,2020-11-11,train
investrade,gold,2020-11-12,train
investrade,gold,2020-11-13,train
investrade,gold,2020-11-16,train
investrade,gold,2020-11-19,train
investrade,gold,2020-11-24,train
investrade,gold,2020-11-25,train
investrade,gold,2020-11-30,train
investrade,gold,2020-12-03,train
investrade,gold,2020-12-07,train
investrade,gold,2020-12-08,train
investrade,gold,2020-12-10,train
investrade,gold,2020-12-14,train
investrade,gold,2020-12-17,train
investrade,gold,2020-12-18,train
investrade,gold,2021-01-04,train
investrade,gold,2021-01-11,train
investrade,gold,2021-01-13,train
investrade,gold,2021-02-01,train
investrade,gold,2021-02-02,train
investrade,gold,2021-02-04,train
investrade,gold,2021-02-05,train
investrade,gold,2021-02-11,train
investrade,gold,2021-02-17,train
investrade,gold,2021-02-23,train
investrade,gold,2021-03-01,train
investrade,gold,2021-03-05,train
investrade,gold,2021-03-16,train
investrade,gold,2021-03-30,train
investrade,gold,2021-04-12,train
investrade,gold,2021-04-20,train
investrade,gold,2021-05-05,train
investrade,gold,2021-05-10,train
investrade,gold,2021-05-11,train
investrade,gold,2021-05-17,train
investrade,gold,2021-05-19,train
investrade,gold,2021-05-28,train
investrade,gold,2021-06-11,train
investrade,gold,2021-06-15,train
investrade,gold,2021-06-16,train
investrade,gold,2021-06-17,train
investrade,gold,2021-06-22,train
investrade,gold,2021-06-25,train
investrade,gold,2021-07-13,train
investrade,gold,2021-07-14,train
investrade,gold,2021-08-02,train
investrade,gold,2021-08-03,train
investrade,gold,2021-08-04,train
investrade,gold,2021-08-10,train
investrade,gold,2021-08-18,train
investrade,gold,2021-08-19,train
investrade,gold,2021-08-20,train
investrade,gold,2021-08-23,train
investrade,gold,2021-08-26,train
investrade,gold,2021-08-27,train
investrade,gold,2021-08-30,train
investrade,gold,2021-09-03,train
investrade,gold,2021-09-13,train
investrade,gold,2021-09-15,train
investrade,gold,2021-09-21,train
investrade,gold,2021-09-23,train
investrade,gold,2021-09-24,train
investrade,gold,2021-10-01,train
investrade,gold,2021-10-04,train
investrade,gold,2021-10-11,train
investrade,gold,2021-10-18,train
investrade,gold,2021-10-22,train
investrade,gold,2021-10-28,train
investrade,gold,2021-10-29,train
investrade,gold,2021-11-02,train
investrade,gold,2021-11-03,train
investrade,gold,2021-11-10,train
investrade,gold,2021-11-11,train
investrade,gold,2021-11-12,train
investrade,gold,2021-11-19,train
investrade,gold,2021-11-22,train
investrade,gold,2021-11-29,train
investrade,gold,2021-11-30,train
investrade,gold,2021-12-02,train
investrade,gold,2021-12-03,train
investrade,gold,2021-12-09,train
investrade,gold,2021-12-14,train
investrade,gold,2021-12-17,train
investrade,gold,2021-12-22,train
investrade,gold,2021-12-28,train
investrade,gold,2021-12-30,train
investrade,gold,2021-12-31,train
investrade,gold,2022-01-03,train
investrade,gold,2022-01-12,train
investrade,gold,2022-01-14,train
investrade,gold,2022-01-21,train
investrade,gold,2022-01-26,train
investrade,gold,2022-01-28,train
investrade,gold,2022-01-31,train
investrade,gold,2022-02-01,train
investrade,gold,2022-02-03,train
investrade,gold,2022-02-04,train
investrade,gold,2022-02-08,train
investrade,gold,2022-02-11,train
investrade,gold,2022-02-14,train
investrade,gold,2022-02-15,train
investrade,gold,2022-02-18,train
investrade,gold,2022-02-22,train
investrade,gold,2022-02-23,train
investrade,gold,2022-02-25,train
investrade,gold,2022-03-01,train
investrade,gold,2022-03-02,train
investrade,gold,2022-03-03,train
investrade,gold,2022-03-04,train
investrade,gold,2022-03-07,train
investrade,gold,2022-03-08,train
investrade,gold,2022-03-09,train
investrade,gold,2022-03-10,train
investrade,gold,2022-03-11,train
investrade,gold,2022-03-17,train
investrade,gold,2022-03-23,train
investrade,gold,2022-03-31,train
investrade,gold,2022-04-11,train
investrade,gold,2022-04-12,train
investrade,gold,2022-04-28,train
investrade,gold,2022-04-29,train
investrade,gold,2022-05-04,train
investrade,gold,2022-05-06,train
investrade,gold,2022-05-09,train
investrade,gold,2022-05-10,train
investrade,gold,2022-05-12,train
investrade,gold,2022-05-13,train
investrade,gold,2022-05-16,train
investrade,gold,2022-05-20,train
investrade,gold,2022-05-24,train
investrade,gold,2022-05-25,train
investrade,gold,2022-05-26,train
investrade,gold,2022-06-10,train
investrade,gold,2022-06-14,train
investrade,gold,2022-06-22,train
investrade,gold,2022-06-23,train
investrade,gold,2022-06-24,train
investrade,gold,2022-06-27,train
investrade,gold,2022-06-28,train
investrade,gold,2022-07-01,train
investrade,gold,2022-07-06,train
investrade,gold,2022-07-08,train
investrade,gold,2022-07-12,validate
investrade,gold,2022-07-14,validate
investrade,gold,2022-07-18,validate
investrade,gold,2022-07-19,validate
investrade,gold,2022-07-20,validate
investrade,gold,2022-07-27,validate
investrade,gold,2022-07-29,validate
investrade,gold,2022-08-02,validate
investrade,gold,2022-08-11,validate
investrade,gold,2022-08-17,validate
investrade,gold,2022-08-26,validate
investrade,gold,2022-09-09,validate
investrade,gold,2022-09-16,validate
investrade,gold,2022-09-21,validate
investrade,gold,2022-09-26,validate
investrade,gold,2022-09-29,validate
investrade,gold,2022-09-30,validate
investrade,gold,2022-10-10,validate
investrade,gold,2022-11-07,validate
investrade,gold,2022-11-11,validate
investrade,gold,2022-11-30,test
investrade,gold,2022-12-02,test
investrade,gold,2022-12-08,test
investrade,gold,2022-12-12,test
investrade,gold,2022-12-14,test
investrade,gold,2022-12-15,test
investrade,gold,2022-12-22,test
investrade,gold,2022-12-27,test
